fraction,split_name,assay_id,assay_type,auroc,auprc,test_set_length,num_actives,num_inactives,n_train_compounds,n_valid_compounds_unused,n_test_compounds,n_train_labels,n_train_pos,n_train_neg,feature,model,constant_fallback
1%,K100,70_211,cell,,,17,1,16,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,76_230,biochem,,,19,1,18,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,78_237,cell,,,7,1,6,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,82_243,cell,,,8,3,5,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,83_244,biochem,,,18,1,17,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,85_247,cell,,,15,7,8,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,86_250,cell,,,10,1,9,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,88_252,cell,,,32,1,31,100,12844,3226,1,0,1,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,88_254,cell,,,21,5,16,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,92_258,cell,,,11,5,6,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,10_20,bacterial,0.30434782608695654,0.09,25,2,23,1001,11943,3226,4,1,3,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,104_291,cell,,,18,2,16,1001,11943,3226,4,0,4,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,104_297,cell,,,11,1,10,1001,11943,3226,3,0,3,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,105_341,cell,,,18,3,15,1001,11943,3226,4,0,4,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,105_382,cell,,,18,5,13,1001,11943,3226,4,0,4,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,105_391,cell,,,11,1,10,1001,11943,3226,3,0,3,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,11_21,bacterial,,,10,3,7,1001,11943,3226,3,0,3,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,110_400,cell,0.7872340425531915,0.12692307692307692,49,2,47,1001,11943,3226,21,2,19,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,116_413,yeast,,,21,2,19,1001,11943,3226,4,0,4,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,116_414,yeast,,,21,1,20,1001,11943,3226,4,0,4,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,116_415,yeast,0.4166666666666667,0.39880952380952384,10,4,6,1001,11943,3226,3,1,2,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,16_27,cell,0.24615384615384614,0.22137764196587725,18,5,13,1001,11943,3226,6,1,5,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,169_545,cell,0.7636363636363637,0.5040384615384615,27,5,22,1001,11943,3226,6,1,5,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,17_28,cell,,,15,1,14,1001,11943,3226,4,0,4,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,170_550,cell,0.16666666666666663,0.0900735294117647,20,2,18,1001,11943,3226,5,1,4,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,175_559,cell,,,10,1,9,1001,11943,3226,3,0,3,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,178_684,cell,0.615358126721763,0.32226014508534023,220,22,198,1001,11943,3226,90,8,82,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,180_686,fungal,0.7178828365878726,0.18189644497256466,153,14,139,1001,11943,3226,63,10,53,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,184_606,cell,0.801140350877193,0.5824617163449026,220,30,190,1001,11943,3226,90,5,85,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,19_30,cell,,,15,4,11,1001,11943,3226,4,0,4,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,191_630,biochem,0.470404984423676,0.02608532872728379,550,15,535,1001,11943,3226,249,2,247,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,191_675,biochem,,,184,2,182,1001,11943,3226,83,0,83,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,197_648,biochem,0.5948275862068966,0.12142857142857143,31,2,29,1001,11943,3226,6,1,5,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,197_649,biochem,0.4755829473188348,0.17306821213654577,318,47,271,1001,11943,3226,139,17,122,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,197_650,biochem,0.5190125276344879,0.07870995021384702,318,23,295,1001,11943,3226,139,5,134,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,198_682,cell,0.6808583106267031,0.2190924570097476,391,24,367,1001,11943,3226,169,9,160,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,200_658,cell,,,9,2,7,1001,11943,3226,3,0,3,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,217_689,bacterial,0.6588557993730407,0.1765512965158775,312,22,290,1001,11943,3226,129,3,126,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,219_691,biochem,0.5092731829573935,0.03142305850634211,409,10,399,1001,11943,3226,173,1,172,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,224_696,bacterial,0.5071225071225072,0.05676023121475146,482,27,455,1001,11943,3226,194,11,183,Cells_Number_Object_Number,per_assay_lr,False
