Plate,Well,Compound Name,Compound SMILES
24293,K7,DMSO,CS(=O)C
24293,K8,DMSO,CS(=O)C
24293,K15,DMSO,CS(=O)C
24293,K16,DMSO,CS(=O)C
24293,K23,DMSO,CS(=O)C
24293,K24,DMSO,CS(=O)C
24293,L7,DMSO,CS(=O)C
24293,L8,DMSO,CS(=O)C
24293,L15,DMSO,CS(=O)C
24293,L16,DMSO,CS(=O)C
24293,L23,DMSO,CS(=O)C
24293,L24,DMSO,CS(=O)C
24293,M9,DMSO,CS(=O)C
24293,M10,DMSO,CS(=O)C
24293,M13,DMSO,CS(=O)C
24293,M14,DMSO,CS(=O)C
24293,N9,DMSO,CS(=O)C
24293,N10,DMSO,CS(=O)C
24293,N13,DMSO,CS(=O)C
24293,N14,DMSO,CS(=O)C
24293,O11,DMSO,CS(=O)C
24293,O12,DMSO,CS(=O)C
24293,P11,DMSO,CS(=O)C
24293,P12,DMSO,CS(=O)C
24294,A13,DMSO,CS(=O)C
24294,A14,DMSO,CS(=O)C
24294,B13,DMSO,CS(=O)C
24294,B14,DMSO,CS(=O)C
24294,C11,DMSO,CS(=O)C
24294,C12,DMSO,CS(=O)C
24294,C15,DMSO,CS(=O)C
24294,C16,DMSO,CS(=O)C
24294,D11,DMSO,CS(=O)C
24294,D12,DMSO,CS(=O)C
24294,D15,DMSO,CS(=O)C
24294,D16,DMSO,CS(=O)C
24294,E1,DMSO,CS(=O)C
24294,E2,DMSO,CS(=O)C
24294,E9,DMSO,CS(=O)C
24294,E10,DMSO,CS(=O)C
24294,E17,DMSO,CS(=O)C
24294,E18,DMSO,CS(=O)C
24294,F1,DMSO,CS(=O)C
24294,F2,DMSO,CS(=O)C
24294,F9,DMSO,CS(=O)C
24294,F10,DMSO,CS(=O)C
24294,F17,DMSO,CS(=O)C
24294,F18,DMSO,CS(=O)C
24294,G3,DMSO,CS(=O)C
24294,G4,DMSO,CS(=O)C
24294,G19,DMSO,CS(=O)C
24294,G20,DMSO,CS(=O)C
24294,H3,DMSO,CS(=O)C
24294,H4,DMSO,CS(=O)C
24294,H18,DMSO,CS(=O)C
24294,H19,DMSO,CS(=O)C
24294,H20,DMSO,CS(=O)C
24294,I5,DMSO,CS(=O)C
24294,I6,DMSO,CS(=O)C
24294,I21,DMSO,CS(=O)C
24294,I22,DMSO,CS(=O)C
24294,J5,DMSO,CS(=O)C
24294,J6,DMSO,CS(=O)C
24294,J21,DMSO,CS(=O)C
24294,J22,DMSO,CS(=O)C
24294,K7,DMSO,CS(=O)C
24294,K8,DMSO,CS(=O)C
24294,K15,DMSO,CS(=O)C
24294,K16,DMSO,CS(=O)C
24294,K23,DMSO,CS(=O)C
24294,K24,DMSO,CS(=O)C
24294,L7,DMSO,CS(=O)C
24294,L8,DMSO,CS(=O)C
24294,L15,DMSO,CS(=O)C
