assay_id,assay_type,assay_name,nearest_train_assay_id,nearest_train_assay_type,nearest_train_assay_name,nearest_biolord_cosine,feature,threshold,direction,train_balanced_accuracy,train_binary_auroc,n_train_labels,n_train_pos,n_train_neg,test_set_length,num_actives,num_inactives,constant_fallback,auroc,auprc,balanced_accuracy,precision,recall,f1
217_689,bacterial,MLPCN Streptokinase expression,217_688,bacterial,MLPCN Streptokinase expression,0.86318475,Cells_Number_Object_Number,-2.666015625,low_cell_count_active,0.5965801975718271,0.5965801975718272,1817,178,1639,1652,68,1584,False,0.5937128639334521,0.05220757991805315,0.5937128639334521,0.061461794019933555,0.5441176470588235,0.11044776119402985
219_691,biochem,MLPCN RTT109,267_745,yeast,MLPCN Start codon fidelity,0.7161067,Cells_Number_Object_Number,-7.17578125,low_cell_count_active,0.6359293333643814,0.6359293333643813,8551,227,8324,1854,33,1821,False,0.5089860715890369,0.018167107972933215,0.508986071589037,0.020833333333333332,0.12121212121212122,0.03555555555555555
224_696,bacterial,MLPCN Topoisomerase 1 Y. pestis,181_600,bacterial,TBChemicalGenetics,0.67382514,Cells_Number_Object_Number,-8.73828125,high_cell_count_active,0.858974358974359,0.858974358974359,40,1,39,2232,99,2133,False,0.5181136257085625,0.04594852987873746,0.5181136257085625,0.04603330068560235,0.9494949494949495,0.08780943484353107
228_700,biochem,Sonic hedgehog signalling,275_754,cell,MLPCN X-reactivation,0.57578504,Cells_Number_Object_Number,-6.211718750000001,low_cell_count_active,0.5466497422878683,0.5466497422878683,14961,105,14856,781,58,723,False,0.5113750178852483,0.0759570735482348,0.5113750178852483,0.08040201005025126,0.27586206896551724,0.1245136186770428
229_701,cell,MLPCN Alpha-Synuclein 5'UTR,217_688,bacterial,MLPCN Streptokinase expression,0.68075573,Cells_Number_Object_Number,-2.666015625,low_cell_count_active,0.5965801975718271,0.5965801975718272,1817,178,1639,3469,319,3150,False,0.5155291834602179,0.09479377686187518,0.5155291834602179,0.10057471264367816,0.329153605015674,0.15407190022010273
232_704,cell,MLPCN Cancer Stem Cells,232_705,cell,MLPCN Cancer Stem Cells,0.79880965,Cells_Number_Object_Number,-6.359375,low_cell_count_active,0.6522304476849932,0.6522304476849932,1768,74,1694,1768,153,1615,False,0.6703130374957,0.18715872622808533,0.6703130374957,0.32338308457711445,0.42483660130718953,0.36723163841807915
244_718,biochem,MLPCN ERp5,227_699,biochem,MLPCN PDI Inhibitor,0.6459295,Cells_Number_Object_Number,-23.4921875,low_cell_count_active,0.5830677624958068,0.5830677624958068,2190,22,2168,13427,78,13349,False,0.5085130740610551,0.006098544966841339,0.5085130740610552,0.017094017094017096,0.02564102564102564,0.020512820512820513
247_721,biochem,MLPCN PHGDH,220_692,biochem,IDH1/2,0.6526704,Cells_Number_Object_Number,-2.8819474938199328,low_cell_count_active,0.54817870152132,0.54817870152132,11043,273,10770,12892,162,12730,False,0.5466817956998633,0.014012434309248395,0.5466817956998633,0.015690376569037656,0.46296296296296297,0.03035208417644678
250_726,cell,GPR85,249_724,biochem,MLPCN S100A4,0.6944592,Cells_Number_Object_Number,-3.591796875,low_cell_count_active,0.5245310001261623,0.5245310001261623,13326,575,12751,3192,45,3147,False,0.7297320199131448,0.032746596460163244,0.7297320199131447,0.041168658698539175,0.6888888888888889,0.07769423558897243
259_737,biochem,MLPCN CAL PDZ,258_736,biochem,MLPCN CAL PDZ,0.815877,Cells_Number_Object_Number,2.25390625,high_cell_count_active,0.5769617706237424,0.5769617706237424,1860,14,1846,7162,36,7126,False,0.5071919730564132,0.005102835065531485,0.5071919730564132,0.00533175355450237,0.25,0.010440835266821345
268_746,biochem,MCL-1 DSF,108_394,cell,MTBMacrophage.Lumin.CTG;GFP;DAPI,0.58512604,Cells_Number_Object_Number,-14.5546875,low_cell_count_active,0.6666666666666667,0.6666666666666666,35,5,30,12354,397,11957,False,0.5064699724811557,0.03264880718795968,0.5064699724811557,0.040998217468805706,0.05793450881612091,0.04801670146137788
269_747,cell,MLPCN Insulin Secretion,26_37,cell,BetaCellDifferentiation.ImmFluor.TotalPosEndocrine,0.7376161,Cells_Number_Object_Number,0.7234675480769219,high_cell_count_active,0.8863636363636364,0.8863636363636364,45,1,44,15076,606,14470,False,0.47402090589155677,0.03847064900882418,0.4740209058915567,0.0346039970392302,0.3085808580858086,0.06222961730449251
